fsd_no;fsd_vr;fsd_id;Q1A_1;Q1A_2;Q1A_3;Q1A_4;Q1A_5;Q1A_6;Q1A_7;Q1A_8;Q1A_9;Q1A_10;Q1A_11;Q1A_12;Q1A_13;Q1A_14;Q1A_15;Q1A_16;Q1A_17;Q1A_18;Q1A_19;Q1A_20;Q1B_1;Q1B_2;Q1B_3;Q1B_4;Q1B_5;Q1B_6;Q1B_7;Q1B_8;Q1B_9;Q1B_10;Q1B_11;Q1B_12;Q1B_13;Q1B_14;Q1B_15;Q1B_16;Q1B_17;Q1B_18;Q1B_19;Q1B_20;Q1C_1;Q1C_2;Q1C_3;Q1C_4;Q1C_5;Q1C_6;Q1C_7;Q1C_8;Q1C_9;Q1C_10;Q1C_11;Q1C_12;Q1C_13;Q1C_14;Q1C_15;Q1C_16;Q1C_17;Q1C_18;Q1C_19;Q1C_20;Q2_1;Q2_2;Q2_3;Q2B_1;Q2B_2;Q2B_3;Q2C;Q3_1;Q3_2;Q3_3;Q3_4;Q3_5;Q3_6;Q3_7;Q3_8;Q3_9;Q3_10;Q3_11;Q3_12;Q3_13;Q3_14;Q3_15;Q4_1;Q4_2;Q4_3;Q4_4;Q4_5;Q4_6;Q4_7;Q4_8;Q4_9;Q4_10;Q4_11;Q4_12;Q4_13;Q4_14;Q5;Q6_1;Q6_2;Q6_3;Q6_4;Q6_5;Q6_6;Q6_7;Q6_8;Q7_1;Q7_2;Q7_3;Q7_4;Q7_5;Q7_6;Q7_7;Q7_8;Q7_9;Q7_10;Q7_11;Q7_12;Q7_13;Q7_14;Q7_15;Q8_1;Q8_2;Q8_3;Q9_1;Q9_2;Q9_3;Q9_4;Q9_5;Q9_6;Q9_7;Q9_8;Q9_9;Q9_10;Q9_11;Q9_12;Q9_13;Q9_14;Q9_15;Q9_16;Q9_17;Q9_18;Q9_19;Q9_20;Q9_21;Q9_22;Q9_23;Q9_24;Q9_25;Q9_26;Q9_27;Q9_28;Q9_29;Q9_30;Q9_31;Q9_32;Q9_33;Q10_1;Q10_2;Q10_3;Q10_4;Q10_5;Q10_6;Q10_7;Q10_8;Q10_9;Q10_10;Q10_11;Q10_12;Q10_13;Q10_14;Q11A;Q11B;Q12_1;Q12_2;Q12_3;Q12_4;Q12_5;Q12_6;Q12_7;Q12_8;Q12_9;Q12_10;Q12_11;Q12_12;Q12_13;Q12_14;Q12_15;Q12_16;Q12_17;Q12_18;Q12_19;Q12_20;Q12_21;Q12_22;Q12_23;Q12_24;Q12_25;Q12_26;Q12_27;Q12_28;Q12_29;Q12_30;Q12_31;Q12_32;Q13A;Q13B;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T12B;T13;T14;T15;bv2;bv1;kunta;paino
3780;1;1;1;2;2;4;4;2;2;1;3;3;1;4;4;2;1;2;2;1;5;1;4;4;2;1;3;4;4;1;4;4;4;2;5;2;2;5;4;4;4;2;2;2;2;3;2;2;4;4;1;1;2;2;2;2;2;5;5;4;2;5;2;1;1;3;1;2;2;2;2;2;1;2;4;2;4;3;3;4;5;2;2;4;2;1;4;5;2;1;1;1;1;4;1;2;5;4;1;1;3;2;1;3;3;3;3;3;4;4;4;2;2;5;2;4;4;2;4;3;2;4;2;4;2;2;2;2;2;3;4;4;5;4;5;5;5;5;5;5;5;5;4;4;4;4;2;2;2;5;5;5;5;2;3;4;5;4;4;5;4;2;2;5;2;2;5;2;4;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;6;2;14;4;4;2;2;4;8;3;2;2;1;4;1;1948;6;287;1,598307501
3780;1;2;4;3;2;5;5;3;2;3;2;3;1;3;4;1;2;4;5;4;3;1;1;5;1;2;2;3;4;3;5;2;3;3;3;2;1;2;2;1;5;4;3;5;1;3;3;5;3;4;1;1;2;2;5;1;3;5;5;3;1;5;3;3;3;3;3;2;1;3;2;3;5;3;4;3;4;5;5;5;5;5;3;1;3;3;1;5;3;3;2;3;3;5;1;1;4;4;2;2;3;4;2;3;3;4;3;4;3;3;2;3;1;5;4;4;3;1;3;3;4;3;1;3;1;1;2;1;1;1;1;2;5;2;5;1;3;1;3;3;5;1;5;5;5;3;3;1;3;3;2;3;5;2;2;3;3;1;3;1;3;1;2;3;3;2;3;3;5;3;5;5;1;1;2;3;2;2;2;1;2;1;2;2;3;2;2;2;2;3;3;1;2;1;3;2;3;2;2;2;2;1;3;3;3;2;4;4;1;6;4;1;7; ; ;3;6;8;2;1; ;2;3;1;1946;11;245;,3625244
3780;1;3;1;4;4;5;3;1;3;3;5;3;4;3;4;3;1;4;2;2;4;3;4;2;4;3;5;4;2;3;2;5;3;2;4;4;4;5;4;4;3;3;3;2;4;2;4;2;5;3;4;2;4;3;1;3;2;4;2;1;5;4;3;3;3;2;2;2;1;1;1;1;3;3;1;2;1;5;5;5;5;5;5;3;1;1;4;5;3;3;2;2;1;3;1;3;3;3;3;2;3;3;2;3;2;4;4;1;3;2;1;3;4;5;2;1;3;5;3;2;1;5;2;2;4;3;3;2;3;1;5;3;3;3;5;3;5;5;5;5;4;4;2;3;4;4;2;2;2;5;5;5;5;5;5;5;5;5;1;1;3;1;2;1;1;1;1;3;1;1;5;5;3;1;1;3;3;1;3;2;2;1;1;1;3;2;1;1;1;2;1;2;2;1;2;1;1;1;1;1;1;1;2;2;1;2;2;2;2;5;5;2;3;1;1;3;6;2;4;2;3;6;6;1;1961;6;853;,3486812
3780;1;4;1;2;4;4;2;1;2;1;4;1;5;5;5;4;2;1;1;1;4;5;5;1;5;3;1;2;4;1;1;5;5;1;5;5;5;5;1;5;4;5;4;1;2;4;2;2;4;4;5;1;4;2;1;5;2;5;1;5;5;5;3;2;2;4;4;4;4;1;1;1;4;4;2;1;2;3;2;5;4;5;4;5;1;1;5;5;1;1;1;1;1;1;1;4;5;5;1;2;3;4;1;3;2;4;3;4;2;4;2;2;4;5;2;1;4;2;4;4;2;4;1;2;2;2;2;2;4;2;5;5;5;4;4;4;4;5;5;5;5;4;4;2;4;4;4;5;1;4;5;5;5;5;5;5;5;5;1;2;2;4;1;1;1;1;2;1;1;1;2;2;1;1;1;2;3;1;3;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;1;1;2;2;1;1;1;2;3;2;2;2;1;1;1;3;5;5;3;1;1;3;6;2;3;1; ;6;4;1;1979;9;837;1,59366282
3780;1;5;4;2;1;2;4;2;3;1;4;5;2;5;2;2;3;4;4;5;1;1;1;5;4;4;4;5;4;5;4;2;2;4;1;1;2;4;4;4;4;2;4;5;1;5;2;2;2;2;1;3;2;1;4;2;4;5;2;2;1;5;2;5;2;3;5;2;2;4;2;4;2;1;4;2;5;4;2;2;5;1;4;4;3;3;3;4;3;2;4;3;2;3;2;1;4;4;3;2;3;5;2;2;2;4;4;4;3;2;2;3;1;2;3;2;4;2;4;4;4;4;2;3;1;2;2;1;1;1;1;4;5;1;5;1;4;5;5;2;2;1;5;5;5;5;2;2;4;4;4;5;5;2;4;5;5;2;5;5;3;1;2;4;4;2;4;4;4;5;4;5;3;2;2;3;3;1;2;2;2;3;4;1;4;3;3;1;1;3;2;2;3;2;3;1;3;3;4;4;1;1;2;3;2;3;4;4;1;4;3;5;4;1;1;2;3;5;3;1; ;2;6;1;1974;5;790;,765300579
3780;1;6;1;3;3;4;4;1;2;3;3;4;4;4;2;3;2;2;3;3;3;1;4;1;4;2;4;3;2;1;1;5;3;1;2;3;2;3;4;4;3;3;2;4;2;3;3;3;3;3;2;1;2;3;2;5;2;4;1;2;4;3;1;1;1;2;3;2;3;1;1;4;4;1;1;1;1;2;3;4;4;3;4;5;2;1;3;4;3;3;2;3;2;2;2;2;3;3;4;1;3;6;1;2;1;5;5;2;2;3;2;3;4;3;3;3;3;3;4;2;4;2;3;2;3;2;2;1;1;1;3;4;5;1;5;2;5;5;5;5;2;2;2;5;3;4;4;3;3;3;4;4;4;5;4;5;4;4;2;4;4;1;1;4;1;1;4;2;4;5;4;4;1;1;1;3;1;1;3;1;1;1;1;1;3;1;1;1;1;3;3;1;3;1;3;1;3;1;1;1;1;1;3;3;4;3;4;5;2;3;4;1;2;1;1;2;4;4;4;1; ;11;3;1;1977;7;186;,3625244
3780;1;7;2;2;1;1;4;3;3;4;3;4;1;5;2;3;5;2;4;2;1;1;2;5;1;4;2;5;5;3;5;1;1;1;3;4;2;4;4;1;3;1;4;4;1;5;4;5;1;2;1;5;2;2;5;1;2;5;5;1;1;3;4;5;2;3;5;3;5;1;1;4;1;2;4;2;4;5;3;5;5;4;4;4;2;1;1;1;1;4;3;1;1;1;3;1;1;1;2;1;3;4;2;3;3;5;3;4;4;4;5;4;1;1;4;2;4;1;2;5;5;4;1;2;1;3;2;2;2;3;1;1;2;1;2;1;1;2;2;2;1;1;5;5;5;2;5;1;2;1;1;1;1;1;1;2;1;1;5;5;2;1;1;5;1;1;5;5;4;5;5;5;4;3;2;3;1;1;4;2;1;1;3;1;1;3;4;1;2;3;3;3;3;1;1;1;3;3;3;2;1;1;3;2;3;3;4;3;1;5;2;9;4;1;1;2;3;6;1;2;4;10;6;1;1966;6;507;,3291454
3780;1;8;1;3;3;5;3;1;2;5;3;2;5;2;3;3;1;3;2;2;2;4;5;1;4;3;3;5;4;2;2;5;2;2;3;3;4;5;3;5;4;4;3;2;4;4;5;3;4;4;4;2;2;4;2;5;3;3;2;3;4;4;4;4;3;4;4;3;4;4;4;4;5;5;5;4;5;5;5;5;5;5;1;1;1;1;5;5;3;4;3;1;1;4;1;2;5;5;2;3;3;3;3;3;3;4;3;3;3;3;3;3;3;5;2;2;3;1;3;3;2;3;3;2;4;2;2;2;2;2;5;5;5;5;5;4;5;5;5;5;4;4;4;4;4;5;2;4;4;5;5;5;4;5;5;5;5;5;2;1;1;1;3;1;1;2;4;2;1;3;4;5;2;1;4;4;4;1;4;1;4;1;1;1;4;4;1;1;1;4;1;1;4;1;3;1;3;1;1;4;1;1;3;3;4;4;1;1;2;6;5;5;2;1;1;3;4;8;4;1; ;5;2;1;1953;3;837;,2937568
3780;1;9;3;1;1;5;5;3;2;1;4;1;1;4;4;2;4;1;5;3;1;2;2;4;1;1;1;2;5;5;5;1;1;2;1;2;2;3;1;1;5;5;4;4;1;5;1;5;1;5;1;1;1;1;3;2;5;5;5;5;1;5;2;4;3;2;2;2;1;4;2;5;5;1;5;3;3;4;4;5;5;5;2;3;2;1;3;5;5;1;2;1;1;5;2;2;4;4;1;1;2;5;2;1;2;5;4;5;5;4;2;2;1;5;3;2;5;1;4;5;5;1;1;5;1;2;2;1;2;1;1;4;5;1;5;2;4;5;5;4;5;1;2;2;1;4;3;1;1;1;1;1;1;1;1;4;4;4;2;2;1;2;2;2;4;2;2;1;1;1;5;4;1;1;3;3;1;1;3;1;3;1;3;1;3;3;3;1;1;3;3;1;2;1;3;1;3;3;1;3;1;4;3;3;3;3;3;3;1;3;5;1;4;1;1;3;6;1;2;1; ;3;4;1;1981;4;91;1,696954008
3780;1;10;2;3;5;1;2;2;5;2;5;2;4;3;4;2;5;1;2;2;2;2;4;2;4;5;4;5;4;4;1;2;1;2;4;4;4;5;5;4;3;1;4;2;2;3;3;2;2;2;2;5;3;2;2;3;4;4;3;1;4;5;2;2;2;3;1;2;2;2;2;5;3;5;5;4;5;5;3;4;2;3;2;4;1;1;3;1;1;1;1;1;1;3;1;4;4;4;3;1;3;5;6;2;2;5;4;3;2;3;3;2;5;2;3;2;4;4;4;3;3;3;2;3;3;1;2;1;1;2;4;2;5;2;3;2;5;5;5;2;5;2;2;5;5;5;2;2;2;2;4;5;5;5;5;5;5;2;2;2;2;5;1;2;2;2;2;3;2;2;1;2;4;3;1;2;3;1;3;2;4;1;1;1;2;2;1;1;1;3;2;3;3;1;2;1;3;1;1;1;2;1;3;3;4;3;2;2;2;4;5;1;4;3;2;3;6;1;3;1; ;1;3;1;1969;11;91;3,521904642
3780;1;11;1;5;2;1;5;1;2;5;5;3;1;4;1;3;2;1;1;5;2;1;2;5;4;2;5;3;1;1;1;5;3;5;1;4;2;5;5;2;1;5;1;4;1;1;5;1;3;4;1;1;2;1;2;5;1;5;1;1;5;1;1;1;1;4;2;2;5;1;1;5;1;1;1;1;1;5;5;5;1;1;5;5;1;1;5;5;1;5;2;1;1;5;1;1;5;5;4;2;3;5;2;2;4;5;5;1;1;2;2;1;4;5;1;1;5;5;5;1;1;1;2;2;2;1;2;1;1;1;1;5;5;2;4;1;5;5;5;5;5;5;4;4;5;5;5;5;2;1;5;5;5;5;5;5;5;4;4;4;1;2;1;5;2;1;5;1;5;1;1;5;1;3;1;1;1;1;3;3;1;1;3;1;2;1;2;1;1;3;1;1;3;4;2;1;3;3;1;1;1;1;3;3;1;2;4;3;1;5;2;8;2;3;1;3;4;2;4;2;2;4;6;1;1961;3;700;2,433993165
3780;1;12;2;4;2;3;5;2;2;1;2;3;4;5;2;1;1;3;2;2;1;1;1;5;2;1;4;5;2;2;2;2;4;3;2;2;2;4;2;4;4;4;3;5;1;2;1;2;4;5;1;1;2;1;4;2;4;5;4;3;3;5;1;1;1;1;1;1;2;1;1;4;1;3;4;1;1;4;4;4;4;2;4;5;5;3;2;4;3;1;3;2;3;4;3;1;4;4;4;2;3;4;2;2;2;3;4;3;2;2;4;3;2;5;2;2;4;2;4;2;2;5;1;5;2;2;4;1;2;2;1;5;5;2;4;1;3;5;5;3;3;3;4;2;5;5;2;1;3;3;3;3;5;3;5;5;5;1;5;5;4;1;2;5;3;4;5;1;5;5;5;5;1;1;4;3;4;4;4;1;1;1;1;1;4;1;1;1;1;4;4;1;3;1;3;1;3;1;1;1;1;1;3;2;4;1;4;3;1;4;4;5;4;1;1;2;3;4;1;1; ;2;2;1;1974;7;980;,2937568
3780;1;13;1;3;3;4;3;1;3;3;4;1;3;4;2;4;2;2;1;1;3;4;4;3;5;2;3;2;1;1;1;4;4;1;3;5;5;3;3;4;1;2;2;1;3;4;2;3;4;5;4;2;2;2;4;4;2;3;3;2;4;4;3;4;3;3;3;2;4;2;1;1;2;1;5;2;3;1;1;5;5;5;3;4;2;3;3;4;1;2;1;3;1;2;1;4;4;5;2;2;3;4;3;3;6;2;4;3;3;4;2;2;4;2;3;2;4;2;3;3;2;4;1;2;4;3;4;2;2;3;5;5;5;5;5;4;4;5;4;2;5;4;1;5;5;4;3;4;2;5;2;4;2;5;2;4;5;2;4;5;2;4;1;4;1;1;4;2;4;2;4;2;2;1;1;3;3;2;3;1;2;2;3;1;3;1;1;1;1;4;4;1;4;1;1;1;4;4;2;3;1;1;3;4;1;4;1;1;2;2;4;1;4;1;1;3;6;3;3;2;3;1;4;1;1996;5;927;,3625244
3780;1;14;4;5;2;5;5;2;2;1;4;5;4;5;4;1;4;5;2;5;1;1;1;5;4;2;2;4;2;5;2;5;1;2;3;1;3;3;3;4;5;5;4;5;1;4;1;3;2;5;2;1;2;1;4;4;3;5;2;3;1;5;1;1;1;2;2;2;2;3;3;1;5;5;4;2;3;5;5;5;5;5;5;5;3;3;2;5;5;1;1;1;1;3;1;1;3;4;4;1;3;5;1;1;1;5;5;2;2;1;1;5;1;5;3;2;5;5;2;2;3;2;2;5;1;1;3;1;1;2;1;3;5;1;5;1;5;5;5;5;3;3;3;3;5;3;5;2;3;3;3;3;3;3;3;5;5;2;5;5;5;5;5;5;5;2;5;5;5;5;5;5;1;1;4;3;2;1;2;3;1;1;2;1;3;3;3;1;1;3;3;1;3;1;3;4;3;3;1;1;3;4;3;2;2;3;4;4;1;2;5;6;4;1;1;2;3;2;2;1; ;2;2;1;1989;1;398;2,527540229
3780;1;15;1;2;2;5;5;3;2;1;3;2;4;2;2;3;3;1;3;1;3;3;4;2;3;1;2;2;3;3;2;4;3;1;4;4;4;5;1;4;3;5;2;2;2;4;1;2;3;2;4;1;2;2;2;4;1;3;2;5;4;5;3;3;2;2;2;2;1;4;2;3;4;3;4;2;3;3;4;5;4;4;2;2;1;1;4;4;6;1;2;2;1;4;2;3;5;5;2;1;2;4;2;2;2;4;3;1;4;4;2;4;3;5;5;2;4;4;2;5;2;4;1;4;2;4;4;4;4;3;1;5;5;4;5;4;4;5;5;5;5;4;2;2;4;4;4;3;1;3;3;5;4;1;5;5;4;5;4;1;2;2;2;1;1;2;4;1;1;1;5;3;1;1;2;3;1;1;3;1;2;2;1;1;3;2;1;1;1;2;2;1;2;1;3;1;3;1;1;2;3;2;3;2;2;2;1;1;1;2;5;1;4;1;1;3;6;3;3;2;3;3;3;1;1988;8;91;1,716814617
3780;1;16;2;5;5;5;3;1;2;1;4;3;5;3;4;3;2;3;1;4;5;2;3;3;5;3;3;2;3;2;1;4;2;3;4;4;3;5;2;5;3;5;3;4;4;3;3;2;4;3;3;1;3;3;3;3;3;3;1;4;3;5;2;2;2;3;3;2;5;4;4;5;4;5;4;4;5;5;5;5;5;5;5;5;3;3;3;5;3;3;3;3;3;3;3;3;3;4;4;1;3;3;6;6;2;6;5;3;3;3;3;3;3;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;5;1;5;5;1;5;5;3;5;5;5;5;1;1;1;1;1;1;2;1;1;1;2;1;4;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;3;1;4;1;18;7; ; ;2;3;4;2;2;1;11;1;1;1969;5;320;3,276703119
3780;1;17;1;5;5;5;4;1;3;2;5;2;5;5;1;5;1;5;3;1;4;4;5;1;5;3;4;2;2;3;1;5;5;1;5;5;2;5;4;5;1;3;1;1;5;3;3;1;3;2;4;1;5;4;1;5;2;2;1;2;5;5;3;3;2;3;3;3;1;2;2;1;4;5;4;1;5;5;5;5;1;3;5;5;1;1;5;5;1;2;2;6;1;6;1;6;5;5;2;1;2;4;1;6;1;4;4;4;2;4;2;3;5;5;1;3;2;1;3;1;3;4;2;1;5;2;2;2;3;2;5;5;5;5;5;4;5;5;5;5;5;5;5;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;2;1;1;2;1;2;1;5;1;1;1;3;1;1;3;4;4;1;4;1;3;4;1;1;1;2;4;1;4;1;4;1;4;1;1;3;1;1;3;3;1;4;1;3;2;3;5;1;4;1;1;3;6;1;3;2;3;6;3;1;1978;10;91;,301942
3780;1;18;4;2;1;4;4;3;2;1;2;2;3;3;3;2;2;2;5;2;2;1;4;4;1;1;2;3;3;3;4;3;3;2;2;3;2;4;2;3;5;4;3;4;5;4;2;5;2;5;1;1;3;2;4;2;4;5;4;4;2;5;3;2;2;2;2;2;4;2;2;2;2;3;4;2;4;3;3;5;5;5;3;3;2;2;3;5;3;1;1;1;1;3;1;1;4;3;2;2;2;4;2;3;2;4;3;4;3;2;2;3;2;5;4;2;4;2;4;4;3;3;2;4;2;2;2;2;2;1;2;4;5;2;5;3;2;4;4;3;3;4;4;3;5;5;3;3;4;4;4;4;4;4;4;4;4;3;5;5;4;3;3;3;4;1;5;3;2;5;3;5;1;1;2;3;2;1;2;1;2;2;1;1;2;2;2;1;1;3;2;1;2;1;3;1;3;2;2;2;1;2;3;2;3;2;3;2;1;4;3;1;4;1;1;3;5;5;2;1; ;3;6;2;1967;10;710;8,896417025
3780;1;19;1;3;4;4;4;1;3;2;4;1;4;4;4;4;2;2;2;1;4;5;4;1;5;3;2;4;2;3;1;5;4;1;4;5;5;4;4;4;3;4;2;1;4;3;3;2;3;4;4;2;4;3;1;5;1;3;1;2;5;5;3;3;5;3;3;2;7;1;1;1;2;3;2;1;1;3;3;4;2;3;5;5;3;2;5;5;3;2;6;3;1;6;3;4;5;5;3;1;3;6;1;3;2;4;4;3;2;3;3;3;4;5;2;3;4;2;4;3;2;4;4;2;4;2;2;2;4;2;5;5;5;5;5;4;5;5;5;5;5;5;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;1;2;2;1;1;1;1;1;2;1;4;5;2;4;2;2;2;2;1;1;3;1;4;1;4;1;4;2;4;1;2;2;4;2;3;1;3;1;4;4;1;4;1;1;3;4;4;4;2;2;2;2;5;1;4;3;1;3;5;7;3;1; ;5;6;1;1996;5;91;,301942
3780;1;20;2;4;3;5;4;1;1;2;3;2;4;3;2;1;1;2;2;2;3;1;2;1;4;1;2;3;3;1;1;4;4;1;4;3;2;4;2;5;5;5;2;2;3;2;3;1;3;4;3;1;2;2;2;3;1;4;1;1;4;5;1;1;1;2;2;2;1;1;1;1;3;2;3;2;1;4;5;4;3;2;3;5;1;1;4;5;2;2;1;1;1;3;1;3;5;5;2;1;2;3;2;4;3;2;4;2;2;3;2;2;3;5;2;1;3;3;5;2;2;2;2;3;3;2;3;3;2;1;4;4;5;3;5;5;5;5;5;5;5;2;2;3;2;3;2;3;3;2;4;5;4;3;3;3;5;5;1;2;3;2;1;2;1;1;4;1;4;1;1;4;1;1;1;1;1;1;3;1;2;1;1;1;3;2;1;1;1;3;2;1;3;1;2;1;3;1;2;2;1;1;3;2;1;2;1;1;2;5;5;5;7; ; ;3;4;8;4;1; ;1;3;1;1961;11;837;1,55091471
3780;1;21;2;1;2;5;5;1;2;1;1;5;4;2;5;1;1;4;4;5;4;1;1;5;4;3;1;4;4;3;2;4;2;1;2;2;4;5;5;4;5;5;5;5;2;5;1;3;1;5;1;2;1;1;5;1;4;5;4;1;1;5;3;2;2;3;3;3;1;5;1;5;1;3;5;1;1;3;3;5;5;5;2;4;4;1;1;5;2;1;2;4;1;4;1;1;1;1;3;2;2;4;1;2;2;5;4;2;5;2;2;5;1;4;4;1;5;5;5;5;1;2;2;5;1;2;2;2;2;1;2;4;5;1;5;1;5;5;5;5;5;1;2;2;5;4;2;2;2;2;1;5;5;5;2;5;1;4;4;2;2;1;2;5;5;2;5;5;5;1;4;2;2;1;1;2;1;1;2;1;1;1;2;1;2;1;1;1;1;3;3;1;2;1;2;1;3;3;1;2;1;1;1;3;2;3;2;1;1;1;5;16;4;1;2;3;6;7;2;2;3;4;2;1;2001;5;564;,4428486
3780;1;22;5;5;4;3;4;3;3;4;3;5;1;4;2;2;2;5;2;4;2;1;3;5;3;3;3;3;1;3;4;3;5;3;2;2;1;4;2;3;5;4;4;5;3;2;4;4;3;4;1;1;1;2;5;2;4;3;5;4;1;4;2;2;1;1;1;1;4;4;2;4;2;4;5;2;5;4;4;2;4;1;2;3;3;3;1;4;1;3;2;2;2;2;2;1;1;1;2;1;2;4;2;2;1;3;3;3;2;4;1;3;2;5;4;5;4;3;3;4;2;4;3;3;2;1;1;1;2;2;1;2;3;2;3;1;4;1;1;2;2;1;1;2;5;2;3;1;3;3;3;5;5;1;1;3;4;1;5;5;5;5;5;5;5;5;5;5;5;1;5;5;2;1;2;3;1;1;2;1;1;1;2;1;3;2;1;1;1;2;2;2;3;1;3;1;3;1;1;2;2;2;2;3;2;2;3;5;1;4;1;3;4;1;1;3;6;5;1;2;4;2;6;1;1957;7; ;1,609497397
3780;1;23;3;2;3;4;2;2;2;2;1;2;4;3;1;3;2;3;2;4;3;1;4;3;3;2;2;3;2;3;2;5;3;4;3;5;3;3;2;3;4;2;3;3;2;2;3;2;3;1;2;3;4;3;2;3;4;3;2;3;2;4;3;3;3;2;2;1;2;4;1;3;1;1;4;2;5;5;5;5;5;3;1;5;2;2;1;4;4;2;2;1;1;5;1;2;4;3;3;2;2;4;3;3;3;4;3;2;1;1;2;2;2;4;3;2;3;3;3;1;3;1;3;2;3;3;3;2;2;1;2;3;3;3;4;2;4;3;3;3;5;5;3;5;5;4;3;1;4;3;3;4;3;3;4;4;4;4;4;4;4;4;3;4;3;4;2;3;5;5;4;3;2;1;2;2;1;1;4;2;1;4;1;1;3;1;1;1;1;1;4;1;2;1;1;1;3;1;1;3;1;2;2;1;1;1;1;1;1;5;3;16;4;1;1;2;3;6;1;2;4;4;3;1;1964;5;244;1,154837571
3780;1;24;2;2;2;3;2;3;3;1;2;2;2;4;2;2;1;2;2;4;4;3;3;4;4;3;4;4;2;2;2;2;3;1;4;2;3;5;4;4;4;4;4;2;2;4;3;2;3;3;4;2;1;2;2;3;2;5;5;3;4;5;2;2;2;3;3;4;1;3;2;2;2;3;4;2;3;2;2;4;4;5;3;4;2;2;4;5;3;1;3;1;2;3;3;3;4;4;3;2;2;3;2;4;2;2;3;3;4;4;4;4;2;4;4;3;4;1;4;3;4;4;2;4;2;3;3;3;2;2;4;3;3;4;4;4;3;3;3;2;2;1;4;1;1;4;3;4;4;4;4;3;3;4;4;3;3;4;2;2;4;3;2;2;2;2;3;4;2;3;3;3;2;2;1;1;1;1;3;1;4;4;2;1;2;2;4;1;1;2;3;2;2;1;2;1;2;2;2;2;1;2;3;2;2;2;2;1;1;6;4;13;7; ; ;2;4;8;3;1; ;1;4;1;1953;8;743;1,598307501
3780;1;25;2;2;1;5;5;4;2;2;2;2;5;4;2;3;4;3;4;2;1;3;2;3;2;2;3;2;4;2;3;4;2;2;2;2;2;4;2;3;5;5;5;3;1;4;2;4;1;4;2;1;1;1;2;2;2;5;2;4;3;5;2;3;3;3;3;3;1;1;1;2;2;3;3;2;2;4;4;5;5;4;4;4;1;2;3;5;2;2;2;1;1;1;1;3;3;4;2;2;2;3;1;1;2;4;3;3;4;2;2;4;1;5;5;1;5;4;2;4;5;1;1;5;1;2;2;1;1;1;1;3;5;1;5;1;5;5;5;5;5;2;5;4;4;5;2;2;1;2;2;4;4;2;1;5;4;2;4;4;2;4;2;4;2;1;2;2;4;1;5;2;1;1;3;3;3;1;2;1;2;3;2;1;2;3;3;1;1;3;3;1;4;1;3;1;3;3;1;1;1;2;3;3;2;3;2;2;1;2;5;1;4;1;1;3;6;2;2;1; ;3;3;1;1994;10;91;2,280256737
3780;1;26;1;5;4;4;4;1;3;5;3;2;5;5;4;3;2;4;1;1;4;3;5;1;5;3;4;2;2;2;1;5;4;1;3;3;2;5;3;5;5;3;3;4;3;3;5;2;3;3;4;3;3;4;3;5;4;2;1;3;5;2;3;2;2;2;2;2;1;2;1;2;5;2;4;4;3;5;5;5;4;4;4;5;1;1;6;5;2;5;2;1;1;2;1;3;6;5;3;2;3;6;2;3;3;3;3;2;2;3;1;2;5;5;2;3;2;2;3;3;2;5;5;2;5;2;2;2;2;3;5;5;5;5;2;4;5;5;5;5;5;5;5;4;4;3;2;4;3;4;5;5;5;5;5;5;5;5;2;1;3;1;2;1;1;2;4;2;1;1;2;1;6;2;1;4;4;1;3;1;4;2;1;1;3;2;4;1;1;4;4;4;4;1;3;1;4;1;1;2;1;1;4;4;4;2;1;1;2;2;3;4;4;1;1;3;5;5;3;1; ;6;3;1;1988;4;694;,2937568
3780;1;27;1;4;2;4;4;2;1;1;2;2;3;4;1;2;1;2;2;3;2;1;2;4;4;1;4;4;1;1;2;4;4;2;4;3;1;4;2;4;4;5;4;2;4;4;2;2;4;4;2;1;1;1;2;4;2;3;4;4;1;5;2;2;2;3;3;3;2;1;1;4;4;3;4;2;4;5;5;5;5;5;4;5;2;3;3;5;2;2;4;2;1;4;1;1;4;4;3;2;3;4;2;3;3;3;3;3;2;2;1;4;2;5;2;2;5;2;4;4;3;4;2;4;2;4;4;2;2;1;2;4;5;2;5;1;4;5;5;5;5;2;2;4;4;5;2;2;4;4;5;4;4;5;5;4;5;2;2;4;4;1;2;4;3;2;5;2;4;5;4;5;1;1;1;3;1;1;1;1;2;2;1;1;2;2;1;1;1;3;1;1;3;1;3;1;2;2;1;2;1;1;2;3;2;2;2;2;1;6;2;15;4;4;1;2;4;8;3;1; ;3;3;1;1956;4;272;,463944115
